Coord X,Coord Y,Month,Day,Hour,Duration,Incident
573603.0,6280852.0,1,0,0,54.0,4
558522.0,6263928.0,1,0,0,32.0,18
574303.94,6279553.0,1,0,0,25.0,7
571710.7,6305442.5,1,0,0,167.0,27
569896.0,6265672.0,1,0,0,41.0,1
571381.7,6277260.5,1,0,0,73.0,12
567869.0,6274860.0,1,0,0,32.0,18
531806.0,6246134.0,1,0,0,80.0,6
563242.0,6280691.0,1,0,0,80.0,50
571851.2,6277600.0,1,0,0,41.0,12
574843.25,6279756.5,1,0,0,71.0,4
568501.0,6283664.0,1,0,0,41.0,12
565578.0,6272487.0,1,0,1,57.0,19
619516.0,6262732.0,1,0,1,38.0,13
571184.9,6277576.0,1,0,1,61.0,12
576522.25,6279260.0,1,0,1,93.0,1
561928.0,6256811.0,1,0,1,77.0,12
578884.0,6283032.0,1,0,1,48.0,12
572497.5,6276744.0,1,0,1,52.0,12
574303.94,6279553.0,1,0,1,57.0,7
560685.0,6276522.0,1,0,1,87.0,13
560196.0,6253319.0,1,0,1,142.0,3
567106.06,6279761.0,1,0,1,73.0,1
514826.4,6199666.5,1,0,1,125.0,3
569420.0,6258415.0,1,0,1,103.0,13
533681.94,6224321.5,1,0,1,93.0,4
569096.25,6278479.0,1,0,1,52.0,12
570365.94,6276070.0,1,0,1,29.0,12
601528.0,6260542.0,1,0,1,432.0,37
575422.7,6279249.0,1,0,2,80.0,31
578091.75,6276148.5,1,0,2,68.0,7
575728.0,6283664.0,1,0,2,91.0,12
577704.0,6279131.5,1,0,2,34.0,12
579552.0,6266194.0,1,0,2,87.0,2
575466.06,6280751.5,1,0,2,45.0,12
577585.0,6288602.0,1,0,2,48.0,1
574918.25,6279700.5,1,0,2,25.0,5
564129.0,6279960.0,1,0,2,48.0,12
575479.3,6277640.0,1,0,2,77.0,3
566873.0,6259767.0,1,0,2,54.0,3
564739.0,6263820.0,1,0,2,38.0,12
550843.0,6253016.0,1,0,2,80.0,13
568852.0,6294693.0,1,0,2,98.0,1
573059.0,6284314.0,1,0,2,61.0,12
585968.7,6275346.0,1,0,3,103.0,5
577487.0,6282264.0,1,0,3,32.0,37
577462.0,6283496.0,1,0,3,100.0,3
568509.6,6284094.5,1,0,3,34.0,1
573199.0,6286015.0,1,0,3,36.0,6
575264.5,6281224.5,1,0,3,41.0,12
574760.0,6279767.0,1,0,3,36.0,23
585180.0,6287776.0,1,0,3,64.0,13
576782.0,6251348.0,1,0,3,121.0,1
569278.0,6269686.0,1,0,3,71.0,3
567715.0,6299946.0,1,0,4,59.0,38
557327.0,6279360.0,1,0,4,89.0,13
563431.0,6262368.0,1,0,4,52.0,1
578091.75,6276148.5,1,0,4,71.0,23
573309.5,6280158.0,1,0,4,11.0,26
574874.1,6280044.0,1,0,4,50.0,3
571384.56,6277124.5,1,0,4,48.0,12
565490.0,6271133.0,1,0,4,50.0,16
565702.75,6275327.0,1,0,4,54.0,16
594505.0,6276353.0,1,0,4,114.0,4
575667.0,6282817.0,1,0,4,38.0,12
574275.5,6279059.0,1,0,5,61.0,5
558476.56,6255974.0,1,0,5,114.0,1
572706.0,6293548.0,1,0,5,142.0,1
509363.5,6224493.0,1,0,5,61.0,31
577414.3,6279079.5,1,0,5,77.0,12
573532.75,6280018.0,1,0,5,25.0,26
572976.44,6279411.5,1,0,5,27.0,6
571653.0,6271063.0,1,0,6,93.0,1
577584.94,6273271.0,1,0,6,50.0,7
574177.25,6280241.0,1,0,6,68.0,5
577390.0,6285432.0,1,0,7,105.0,5
574864.8,6280130.0,1,0,7,64.0,31
572512.44,6278988.5,1,0,7,100.0,3
574867.0,6275967.0,1,0,7,82.0,17
570899.4,6275956.0,1,0,7,80.0,12
576931.0,6251418.0,1,0,7,142.0,1
571770.6,6276076.0,1,0,8,57.0,12
574530.56,6280126.0,1,0,8,22.0,23
563699.0,6278442.0,1,0,8,61.0,13
576668.0,6282978.0,1,0,8,34.0,28
573846.0,6287392.0,1,0,8,80.0,1
565564.0,6268402.0,1,0,8,54.0,4
569711.0,6269250.0,1,0,8,107.0,1
574725.75,6277585.5,1,0,9,73.0,48
568785.0,6269956.0,1,0,9,132.0,17
597389.06,6257745.0,1,0,9,148.0,4
578580.7,6270037.5,1,0,9,116.0,8
574067.44,6277500.0,1,0,9,107.0,6
564686.0,6280627.0,1,0,9,89.0,1
573637.0,6287285.0,1,0,9,80.0,1
580187.0,6267256.0,1,0,10,22.0,13
574324.0,6288831.0,1,0,10,121.0,8
566182.0,6280153.0,1,0,10,91.0,28
619347.0,6262748.0,1,0,10,114.0,1
576158.0,6251565.0,1,0,10,123.0,8
576060.6,6281416.5,1,0,10,57.0,8
578065.0,6280183.0,1,0,10,48.0,1
573568.0,6284138.0,1,0,10,93.0,14
572497.5,6276744.0,1,0,10,91.0,1
564752.0,6264775.0,1,0,10,132.0,4
514860.75,6226733.5,1,0,10,64.0,1
567708.0,6293673.0,1,0,10,139.0,21
596739.0,6273330.0,1,0,10,98.0,40
582066.0,6277474.0,1,0,10,96.0,8
527357.56,6215603.5,1,0,10,75.0,14
580664.0,6266046.0,1,0,10,100.0,1
598672.0,6271606.0,1,0,11,20.0,46
577758.0,6273584.0,1,0,11,71.0,1
565224.0,6276052.0,1,0,11,84.0,38
513670.0,6226244.0,1,0,11,50.0,8
513948.5,6226170.0,1,0,11,50.0,1
566248.0,6275845.0,1,0,11,61.0,12
549817.75,6266868.5,1,0,11,128.0,16
557417.0,6273486.0,1,0,11,109.0,1
558694.0,6250200.0,1,0,11,107.0,1
570814.0,6281568.0,1,0,11,87.0,17
525976.56,6225706.0,1,0,11,105.0,29
579848.0,6270649.0,1,0,11,87.0,1
568713.0,6282624.0,1,0,11,119.0,8
571053.75,6289756.0,1,0,12,87.0,34
540736.0,6241576.5,1,0,12,180.0,3
572019.7,6279656.5,1,0,12,82.0,16
576545.0,6309908.0,1,0,12,112.0,1
573323.0,6283154.0,1,0,12,64.0,1
574048.1,6277225.5,1,0,12,52.0,1
569491.0,6304891.0,1,0,12,132.0,8
568193.0,6284009.0,1,0,12,100.0,4
574647.56,6279851.0,1,0,13,29.0,7
570668.0,6282380.0,1,0,13,103.0,4
574554.5,6278330.5,1,0,13,57.0,35
571333.0,6290170.0,1,0,13,96.0,1
553692.0,6296104.0,1,0,13,160.0,25
572477.0,6280631.0,1,0,13,57.0,1
565571.0,6292428.0,1,0,13,16.0,7
570142.0,6283166.0,1,0,13,87.0,6
562581.94,6276282.0,1,0,13,105.0,4
581574.0,6247030.0,1,0,13,82.0,3
580629.0,6246991.0,1,0,13,71.0,50
583791.0,6288938.0,1,0,14,41.0,30
600219.0,6276487.0,1,0,14,171.0,2
575008.7,6280008.5,1,0,14,93.0,4
577362.3,6276617.5,1,0,14,64.0,16
570719.0,6305878.0,1,0,14,84.0,1
566856.0,6276871.0,1,0,14,93.0,1
515557.03,6252074.5,1,0,14,144.0,3
573453.0,6281680.0,1,0,14,27.0,5
563210.0,6267899.0,1,0,14,109.0,1
561270.0,6278159.0,1,0,15,91.0,1
574299.0,6279417.0,1,0,15,54.0,5
576124.1,6279553.0,1,0,15,22.0,34
573582.0,6281995.0,1,0,15,34.0,9
515415.62,6226582.5,1,0,15,75.0,1
568347.0,6273827.0,1,0,15,144.0,1
562715.0,6290919.0,1,0,15,71.0,1
576495.75,6277631.5,1,0,15,77.0,1
577512.0,6286276.0,1,0,15,139.0,47
568891.0,6294979.0,1,0,16,105.0,5
557644.0,6282176.0,1,0,16,119.0,55
575808.0,6273108.0,1,0,16,61.0,1
564129.0,6279960.0,1,0,16,112.0,30
584053.0,6298061.0,1,0,16,123.0,40
569589.0,6286093.0,1,0,16,64.0,46
577525.0,6271441.0,1,0,16,54.0,46
574530.44,6278976.5,1,0,16,57.0,46
518926.88,6246877.5,1,0,16,116.0,18
591265.0,6274497.0,1,0,16,132.0,3
520953.72,6227163.0,1,0,16,66.0,30
575966.7,6281082.5,1,0,16,68.0,1
577150.0,6272374.0,1,0,16,80.0,46
573636.0,6281640.0,1,0,16,36.0,46
575303.5,6276731.5,1,0,16,34.0,30
579467.0,6269833.0,1,0,16,75.0,46
575471.25,6281388.5,1,0,16,59.0,30
573999.0,6279234.0,1,0,16,121.0,46
572325.06,6282983.0,1,0,16,98.0,55
570558.0,6282371.0,1,0,16,71.0,46
578459.0,6306098.0,1,0,16,178.0,27
568824.4,6280186.5,1,0,16,93.0,46
584493.0,6281449.0,1,0,17,89.0,55
517541.4,6203911.5,1,0,17,153.0,11
599242.0,6270289.0,1,0,17,61.0,55
572906.3,6281320.5,1,0,17,112.0,46
577456.1,6278193.0,1,0,17,107.0,26
570439.0,6282050.0,1,0,17,80.0,1
553594.0,6230353.0,1,0,17,265.0,2
563642.0,6287881.0,1,0,17,137.0,55
565602.0,6301445.0,1,0,17,185.0,1
578052.0,6282646.0,1,0,17,249.0,30
575746.0,6283763.0,1,0,17,54.0,10
569388.0,6283532.0,1,0,17,247.0,46
573185.7,6277734.0,1,0,17,66.0,46
599763.5,6270994.5,1,0,17,87.0,55
575488.0,6296145.0,1,0,17,27.0,30
587711.75,6301003.5,1,0,17,162.0,4
573323.0,6288896.0,1,0,17,162.0,1
564137.75,6274688.0,1,0,17,41.0,30
576236.56,6279237.0,1,0,18,34.0,46
588628.0,6278795.0,1,0,18,84.0,1
570904.0,6307430.0,1,0,18,84.0,30
560128.0,6276837.0,1,0,18,116.0,8
567729.0,6300409.0,1,0,18,144.0,16
560334.0,6280566.0,1,0,18,80.0,8
574292.94,6278951.0,1,0,18,48.0,30
560855.0,6288824.0,1,0,18,254.0,3
571613.5,6279986.0,1,0,18,96.0,2
553995.0,6241454.0,1,0,18,174.0,14
565497.0,6281038.0,1,0,18,123.0,25
579782.0,6279962.0,1,0,19,45.0,1
569855.9,6277220.5,1,0,19,75.0,1
